student_id,age,gender,study_hours_per_day,uses_ai,ai_usage_time_minutes,last_exam_score,assignment_scores_avg,final_score
1,20,Female,2.5,1,170,29,40.9,36.8
2,17,Male,3.4,1,123,60,87.2,65.5
3,24,Male,0.8,0,35,98,77.1,66.3
4,21,Female,4.4,0,45,67,86.4,69.5
5,18,Other,3.5,1,21,40,69.4,49.7
6,20,Male,5.1,1,34,43,98.9,77.9
7,23,Female,2.0,1,112,93,71.5,82.2
8,16,Male,5.5,0,174,42,57.7,52.7
9,20,Female,6.0,1,32,99,97.7,81.7
10,24,Female,5.6,0,140,88,35.2,66.7
11,24,Female,4.8,1,55,52,66.0,54.3
12,21,Male,5.0,0,66,55,74.2,50.7
13,18,Female,3.7,1,12,44,54.2,44.5
14,17,Female,1.5,1,49,77,36.4,62.0
15,21,Male,4.2,1,27,85,58.7,56.7
16,21,Male,4.4,0,103,50,86.7,66.2
17,16,Male,5.9,1,97,63,70.0,48.0
18,19,Male,3.5,1,95,82,83.1,90.6
19,18,Female,2.0,0,86,64,80.2,64.9
20,15,Male,4.3,1,87,69,50.1,61.2
21,21,Male,5.9,1,151,86,47.7,57.0
22,19,Female,1.5,1,124,90,85.4,67.7
23,15,Male,2.3,0,80,20,41.9,36.8
24,18,Female,3.5,1,6,90,69.6,68.4
25,14,Male,1.4,1,73,86,96.9,76.4
26,23,Female,0.6,1,82,28,66.8,40.3
27,19,Female,2.4,0,23,54,86.5,60.3
28,22,Female,5.3,1,136,32,47.9,29.0
29,14,Male,0.7,1,113,45,34.1,36.4
30,24,Female,2.9,0,14,64,54.4,47.7
31,24,Male,4.7,1,112,70,70.2,67.5
32,23,Male,5.7,1,121,44,74.8,68.6
33,16,Male,5.9,0,85,75,67.5,57.6
34,20,Female,2.8,1,144,58,60.3,65.7
35,17,Male,5.7,1,18,22,99.0,57.0
36,22,Female,0.7,0,8,94,78.2,80.9
37,16,Male,4.6,0,63,72,96.8,74.1
38,18,Male,4.0,1,37,52,42.4,46.9
39,16,Female,1.9,1,135,81,100.0,78.4
40,20,Male,3.3,0,133,86,79.2,65.6
41,18,Female,1.2,1,176,88,98.0,89.1
42,22,Male,5.3,1,101,23,72.4,38.0
43,20,Female,2.5,0,172,91,40.8,65.6
44,15,Female,3.9,1,148,78,54.4,59.8
45,17,Male,1.4,1,92,36,33.7,32.2
46,22,Male,1.6,0,33,41,40.6,39.4
47,15,Female,6.0,1,139,57,99.9,68.5
48,23,Female,4.6,1,38,50,94.1,50.9
49,22,Male,5.8,0,95,68,93.1,70.9
50,23,Male,2.1,0,5,71,30.1,42.8
51,18,Female,1.4,0,80,57,61.5,56.3
52,15,Female,3.3,0,31,68,84.7,66.7
53,17,Male,3.2,0,135,46,45.9,47.0
54,20,Female,1.5,1,165,42,59.4,49.7
55,21,Male,4.5,1,146,46,44.3,62.7
56,16,Female,2.5,0,8,33,78.5,54.3
57,14,Male,1.5,1,179,22,79.3,41.3
58,17,Other,2.3,0,155,46,49.8,55.1
59,15,Female,3.6,0,61,81,63.4,64.1
60,21,Female,4.5,0,175,33,61.6,39.4
61,17,Female,3.2,1,113,63,84.5,48.5
62,15,Female,3.4,1,166,44,77.3,52.5
63,19,Female,1.3,1,18,80,34.8,51.2
64,19,Male,5.5,1,32,94,40.6,58.4
65,23,Female,5.6,0,63,71,88.8,69.7
66,17,Female,4.3,0,25,31,97.6,54.2
67,19,Female,0.6,1,172,53,74.5,56.5
68,15,Male,3.5,0,0,42,55.5,40.3
69,23,Male,4.0,1,162,38,45.5,40.8
70,15,Male,6.0,0,76,20,82.0,48.5
71,23,Female,6.0,1,102,93,74.7,72.6
72,17,Male,5.2,1,95,84,93.6,80.9
73,21,Female,0.9,0,172,24,93.2,49.0
74,20,Female,5.7,1,75,76,51.5,54.0
75,22,Female,3.9,1,32,41,86.2,55.0
76,21,Female,4.9,0,81,62,47.8,54.5
77,18,Male,2.7,1,68,21,84.7,47.0
78,15,Male,2.3,0,82,92,41.8,73.5
79,18,Male,3.0,0,158,26,54.3,43.3
80,21,Female,1.3,0,105,40,36.0,41.7
81,23,Male,2.5,1,101,90,50.7,72.4
82,22,Female,5.2,0,113,78,52.3,62.3
83,22,Male,0.7,0,142,28,76.8,39.8
84,14,Male,1.3,1,45,59,80.1,63.2
85,22,Male,1.2,0,119,92,71.2,61.6
86,20,Female,2.7,1,47,68,83.9,63.6
87,22,Female,6.0,0,67,31,61.6,40.5
88,21,Male,1.5,1,82,92,74.0,88.5
89,14,Female,1.3,1,84,29,55.1,29.6
90,21,Male,5.5,1,125,93,66.5,67.2
91,21,Other,5.4,0,167,36,39.9,37.1
92,24,Female,0.7,1,120,23,72.8,31.8
93,16,Male,4.6,1,128,83,44.3,60.8
94,14,Female,4.1,0,19,35,62.3,40.0
95,21,Male,4.7,0,149,68,76.6,56.6
96,16,Other,3.2,0,64,46,59.9,42.6
97,16,Male,6.0,1,142,25,45.6,43.5
98,14,Female,0.7,1,60,28,76.6,46.7
99,24,Male,1.8,0,78,77,89.7,65.0
100,18,Female,2.7,0,13,51,65.0,46.1
101,23,Female,3.0,0,68,57,69.0,46.4
102,20,Female,5.6,0,121,49,57.4,51.5
103,23,Female,3.6,1,48,97,70.8,79.9
104,22,Female,0.7,1,133,64,64.7,74.1
105,20,Male,2.7,0,168,48,82.3,62.0
106,22,Male,2.8,1,158,41,46.8,37.3
107,21,Male,5.8,1,115,50,64.0,63.3
108,15,Other,3.8,1,89,36,52.1,40.3
109,14,Male,4.0,1,88,73,36.6,56.3
110,20,Female,4.4,0,178,98,57.1,66.4
111,20,Female,4.7,1,116,66,96.7,63.6
112,21,Male,4.0,0,121,51,62.2,43.3
113,18,Male,1.8,1,176,47,68.2,57.1
114,16,Male,5.3,1,167,30,82.0,42.9
115,21,Male,4.5,0,14,58,98.9,56.2
116,19,Male,4.6,1,6,36,58.8,31.9
117,24,Male,6.0,1,53,95,66.2,63.4
118,16,Female,4.9,1,179,58,97.8,80.1
119,14,Other,5.1,1,178,92,60.0,67.5
